TABLE_NAME|COLUMN_NAME|DATA_TYPE|DATA_LENGTH|FIELD_DESCRIPTION
VIOLATIONS|EVENT_NO|VARCHAR2|7|A preassigned number used to identify each inspection, investigation, audit, survey, etc.  Use to join to the Inspections table.
VIOLATIONS|INSPECTION_BEGIN_DT|DATE|10|Start date of the inspection (mm/dd/yyyy).
VIOLATIONS|INSPECTION_END_DT|DATE|10|Inspection close out date (mm/dd/yyyy).
VIOLATIONS|VIOLATION_NO|VARCHAR2|30|Citation/order number assigned to each citation written during an inspection.  This is a unique key to the file.
VIOLATIONS|CONTROLLER_ID|VARCHAR2|7|Identification number assigned by MSHA Assessments for a Legal Entity acting as a controller of an operator at the time the violation was cited.   May not contain data (null values) if this record pertains to a violation issued to a contractor.
VIOLATIONS|CONTROLLER_NAME|VARCHAR2|72|Name of the controller active at the time the violation was cited.  May not contain data (null values) if this record pertains to a violation issued to a contractor.
VIOLATIONS|VIOLATOR_ID|VARCHAR2|7|Identification number assigned by MSHA for a Legal Entity acting as an operator at a mine at the time the violation was cited.  May not contain data (null values) if this record pertains to a violation issued to a contractor.
VIOLATIONS|VIOLATOR_NAME|VARCHAR2|60|Name of the operator active at the time the violation was cited.  May not contain data (null values) if this record pertains to a violation issued to a contractor.
VIOLATIONS|VIOLATOR_TYPE_CD|VARCHAR2|20|Each Violator record represents an entity (Operator, Contractor, Agent or Miner) that has one or more violations at a mine.
VIOLATIONS|MINE_ID|VARCHAR2|7|Mine id of the mine where the violation was issued.
VIOLATIONS|MINE_NAME|VARCHAR2|50|Name of the mine where the violation was issued.
VIOLATIONS|MINE_TYPE|VARCHAR2|20|Mine type of the mine where the violation has been issued:  Facility, Surface or Underground.
VIOLATIONS|COAL_METAL_IND|VARCHAR2|1|Identifies if the record is for a Coal or Metal/Non-Metal mine.
VIOLATIONS|CONTRACTOR_ID|VARCHAR2|10|Code identifying the contractor to whom the citation or order was issued.  May not contain data (null values) if the contractor was not cited.
VIOLATIONS|VIOLATION_ISSUE_DT|DATE|10|Date the citation or order was issued by the MSHA inspector.
VIOLATIONS|VIOLATION_OCCUR_DT|DATE|10|Actual date of occurrence of the violation.  
VIOLATIONS|CAL_YR|NUMBER|4|Calendar year during which the citation/order was issued by the MSHA inspector.
VIOLATIONS|CAL_QTR|NUMBER|1|Calendar Quarter of the date the citation or order was issued by the MSHA inspector.
VIOLATIONS|FISCAL_YR|NUMBER|4|Fiscal Year of the date the citation or order was issued by the MSHA inspector.  MSHA's fiscal year begins October 1 and ends September 30.
VIOLATIONS|FISCAL_QTR|NUMBER|1|Fiscal Quarter of the date the citation or order was issued by the MSHA inspector.
