,MINE_ID,CURRENT_MINE_NAME,COAL_METAL_IND,CURRENT_MINE_TYPE,CURRENT_MINE_STATUS,CURRENT_STATUS_DT,CURRENT_CONTROLLER_ID,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_ID,CURRENT_OPERATOR_NAME,STATE,BOM_STATE_CD,FIPS_CNTY_CD,FIPS_CNTY_NM,CONG_DIST_CD,COMPANY_TYPE,CURRENT_CONTROLLER_BEGIN_DT,DISTRICT,OFFICE_CD,OFFICE_NAME,ASSESS_CTRL_NO,PRIMARY_SIC_CD,PRIMARY_SIC,PRIMARY_SIC_CD_1,PRIMARY_SIC_CD_SFX,SECONDARY_SIC_CD,SECONDARY_SIC,SECONDARY_SIC_CD_1,SECONDARY_SIC_CD_SFX,PRIMARY_CANVASS_CD,PRIMARY_CANVASS,SECONDARY_CANVASS_CD,SECONDARY_CANVASS,CURRENT_103I,CURRENT_103I_DT,PORTABLE_OPERATION,PORTABLE_FIPS_ST_CD,DAYS_PER_WEEK,HOURS_PER_SHIFT,PROD_SHIFTS_PER_DAY,MAINT_SHIFTS_PER_DAY,NO_EMPLOYEES,PART48_TRAINING,LONGITUDE,LATITUDE,AVG_MINE_HEIGHT,MINE_GAS_CATEGORY_CD,METHANE_LIBERATION,NO_PRODUCING_PITS,NO_NONPRODUCING_PITS,NO_TAILING_PONDS,PILLAR_RECOVERY_USED,HIGHWALL_MINER_USED,MULTIPLE_PITS,MINERS_REP_IND,SAFETY_COMMITTEE_IND,MILES_FROM_OFFICE,DIRECTIONS_TO_MINE,NEAREST_TOWN
20,4601383,Guyan No 1 Mine,C,Underground,Abandoned,10/01/1979,C00613,Occidental Petroleum Corp,P00737,Island Creek Coal Company,WV,46,45,Logan,3.0,Other,01/01/1950,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
28,4604936,No 2 Mine,C,Underground,Abandoned,02/23/1978,C02145,Gregoire Harold C,P02489,Gregoire Coals Inc,WV,46,83,Randolph,2.0,Other,01/01/1975,C03,C0300,"Morgantown, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
67,4605448,No 1 Surface,C,Surface,Abandoned,06/11/1980,C01550,Westmoreland Coal Company,P01842,Westmoreland Coal Company,WV,46,109,Wyoming,3.0,Other,12/11/1979,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
108,4604726,No 2 Surface,C,Surface,Abandoned,10/01/1979,C00070,Adkins James H,P00121,A M Y Coal Inc,WV,46,67,Nicholas,2.0,Other,09/29/1975,C04,C0400,"Mt. Hope, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
136,4604835,No 2 Mine,C,Underground,Abandoned,05/03/1976,C01850,Lawson W  Hamilton Jr,P00663,Ford Coal Company,WV,46,39,Kanawha,2.0,Other,10/08/1975,C04,C0400,"Mt. Hope, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
137,4600309,Lick Fork No 1 Ug,C,Underground,Abandoned,01/26/1973,C31626,Stanton H F,P31626,Old Gauley Coal Company,WV,46,19,Fayette,3.0,Other,01/01/1950,C04,C0400,"Mt. Hope, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
145,4605796,No 1 Tipple,C,Facility,Abandoned,11/28/1980,C06691,Harris Joe H Jr,P08369,C J W Enterprises Inc,WV,46,59,Mingo,3.0,Other,05/01/1978,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
181,4602036,No 6,C,Underground,Abandoned,10/28/1971,C31124,Jacks Branch Coal Company,P31124,Jacks Branch Coal Company,WV,46,19,Fayette,3.0,Other,01/01/1950,C04,C0400,"Mt. Hope, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
189,4609315,Central Shop,C,Facility,NonProducing,01/07/2009,0085759,Mechel Oao,0095768,"Bluestone Industries, Inc. ",WV,46,109,Wyoming,3.0,Corporation,08/01/2010,C12,C1201,Pineville WV Field Office,000274658,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,Never Had 103I Status,,N,,0,0.0,0.0,2.0,15.0,N,81.448611,37.455,,,,,0.0,,N,N,N,N,N,0,Keystone WV to Burke Mtn. Road Co. Rt. 6/4,Keystone
222,4605021,No 3,C,Underground,Abandoned,10/20/1977,C06492,Voest-Alpine International Corp,P08049,Rose Branch Development Company,WV,46,109,Wyoming,3.0,Other,03/22/1978,C12,C1200,"Pineville, WV",,122200.0,Coal (Bituminous),1222.0,0.0,,,,,2.0,Coal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
